The LDA/Score will have a function of LDA = -0.257878*(x-mean(datax)) + 0.0860891*(y-mean(datay))

The classes will be separated by score with 0 as the middle,
so scores with positive values are probably in one class while negative scores are in the other are separated by scores above zero and scores below zero

//////////////////TRAINING RESULT////////////////////
DataX	Datay	Score	Class
14	79	2.81	CLASS1
32	101	0.058	CLASS1
25	111	2.72	CLASS1
4	21	0.391	CLASS1
9	69	3.23	CLASS1
7	25	-0.0379	CLASS1
12	54	1.17	CLASS1
29	108	1.43	CLASS1
32	102	0.144	CLASS1
36	123	0.92	CLASS1
4	40	2.03	CLASS1
32	134	2.9	CLASS1
7	34	0.737	CLASS1
9	46	1.25	CLASS1
6	44	1.86	CLASS1
38	137	1.61	CLASS1
24	110	2.9	CLASS1
1	46	3.32	CLASS1
19	64	0.225	CLASS1
35	133	2.04	CLASS1
17	71	1.34	CLASS1
6	43	1.77	CLASS1
16	59	0.568	CLASS1
28	107	1.61	CLASS1
39	126	0.405	CLASS1
37	123	0.663	CLASS1
22	93	1.95	CLASS1
33	125	1.87	CLASS1
22	100	2.55	CLASS1
19	78	1.43	CLASS1
20	101	3.15	CLASS1
20	96	2.72	CLASS1
18	80	1.86	CLASS1
14	51	0.395	CLASS1
15	87	3.24	CLASS1
27	100	1.26	CLASS1
8	41	1.08	CLASS1
11	75	3.24	CLASS1
7	52	2.29	CLASS1
0	27	1.94	CLASS1
12	45	0.395	CLASS1
13	76	2.81	CLASS1
22	101	2.64	CLASS1
25	86	0.572	CLASS1
8	37	0.737	CLASS1
8	43	1.25	CLASS1
6	29	0.564	CLASS1
9	51	1.68	CLASS1
11	62	2.12	CLASS1
31	109	1	CLASS1
26	94	1	CLASS1
29	116	2.12	CLASS1
5	42	1.94	CLASS1
3	42	2.46	CLASS1
6	33	0.909	CLASS1
13	43	-0.0355	CLASS1
28	93	0.401	CLASS1
15	72	1.95	CLASS1
3	26	1.08	CLASS1
26	118	3.07	CLASS1
25	101	1.86	CLASS1
28	123	2.98	CLASS1
21	85	1.52	CLASS1
38	141	1.95	CLASS1
30	120	2.21	CLASS1
37	120	0.404	CLASS1
12	71	2.63	CLASS1
37	132	1.44	CLASS1
31	130	2.81	CLASS1
31	125	2.38	CLASS1
28	115	2.29	CLASS1
3	47	2.89	CLASS1
8	45	1.43	CLASS1
36	112	-0.0266	CLASS1
0	42	3.23	CLASS1
3	41	2.37	CLASS1
3	14	0.0467	CLASS1
35	147	3.24	CLASS1
19	98	3.15	CLASS1
32	106	0.488	CLASS1
38	148	2.56	CLASS1
7	54	2.46	CLASS1
23	110	3.15	CLASS1
20	90	2.21	CLASS1
17	91	3.07	CLASS1
31	120	1.95	CLASS1
36	112	-0.0266	CLASS1
2	31	1.77	CLASS1
39	144	1.95	CLASS1
7	61	3.06	CLASS1
11	66	2.46	CLASS1
10	54	1.69	CLASS1
10	37	0.222	CLASS1
38	152	2.9	CLASS1
21	76	0.742	CLASS1
38	130	1.01	CLASS1
25	105	2.21	CLASS1
16	87	2.98	CLASS1
12	76	3.06	CLASS1
7	45	1.68	CLASS1
6	22	-0.0383	CLASS1
22	99	2.46	CLASS1
2	31	1.77	CLASS1
12	66	2.2	CLASS1
36	136	2.04	CLASS1
2	36	2.2	CLASS1
6	37	1.25	CLASS1
0	43	3.32	CLASS1
32	131	2.64	CLASS1
36	112	-0.0266	CLASS1
31	107	0.832	CLASS1
23	83	0.829	CLASS1
12	65	2.12	CLASS1
39	149	2.39	CLASS1
25	105	2.21	CLASS1
32	128	2.38	CLASS1
21	75	0.656	CLASS1
9	70	3.32	CLASS1
6	60	3.23	CLASS1
15	60	0.912	CLASS1
38	151	2.82	CLASS1
39	142	1.78	CLASS1
30	105	0.918	CLASS1
7	26	0.0482	CLASS1
23	89	1.35	CLASS1
30	96	0.143	CLASS1
12	68	2.37	CLASS1
34	129	1.95	CLASS1
18	85	2.29	CLASS1
3	40	2.28	CLASS1
34	141	2.99	CLASS1
30	115	1.78	CLASS1
0	17	1.08	CLASS1
13	68	2.12	CLASS1
4	36	1.68	CLASS1
39	132	0.922	CLASS1
13	80	3.15	CLASS1
19	63	0.139	CLASS1
31	115	1.52	CLASS1
11	42	0.394	CLASS1
2	38	2.37	CLASS1
36	113	0.0595	CLASS1
29	127	3.07	CLASS1
13	54	0.911	CLASS1
10	55	1.77	CLASS1
6	61	3.32	CLASS1
23	81	0.657	CLASS1
34	114	0.661	CLASS1
11	71	2.89	CLASS1
17	84	2.46	CLASS1
14	63	1.43	CLASS1
34	140	2.9	CLASS1
36	143	2.64	CLASS1
4	52	3.06	CLASS1
26	117	2.98	CLASS1
36	131	1.61	CLASS1
34	119	1.09	CLASS1
5	44	2.11	CLASS1
32	134	2.9	CLASS1
6	38	1.34	CLASS1
19	79	1.52	CLASS1
7	38	1.08	CLASS1
36	120	0.662	CLASS1
7	34	0.737	CLASS1
23	94	1.78	CLASS1
22	100	2.55	CLASS1
37	115	-0.0262	CLASS1
25	100	1.78	CLASS1
6	48	2.2	CLASS1
39	146	2.13	CLASS1
16	91	3.32	CLASS1
37	137	1.87	CLASS1
9	38	0.566	CLASS1
1	32	2.11	CLASS1
32	124	2.04	CLASS1
9	34	0.221	CLASS1
38	147	2.47	CLASS1
7	39	1.17	CLASS1
14	54	0.654	CLASS1
28	122	2.9	CLASS1
29	92	0.0568	CLASS1
37	139	2.04	CLASS1
36	127	1.26	CLASS1
31	101	0.316	CLASS1
27	116	2.64	CLASS1
14	50	0.309	CLASS1
3	34	1.77	CLASS1
9	58	2.29	CLASS1
13	49	0.481	CLASS1
26	104	1.86	CLASS1
11	66	2.46	CLASS1
38	118	-0.0258	CLASS1
1	16	0.735	CLASS1
35	131	1.87	CLASS1
14	79	2.81	CLASS1
12	66	2.2	CLASS1
38	123	0.405	CLASS1
31	130	2.81	CLASS1
38	157	3.33	CLASS1
37	122	0.576	CLASS1
19	94	2.81	CLASS1
3	37	2.03	CLASS1
26	118	3.07	CLASS1
32	129	2.47	CLASS1
26	111	2.47	CLASS1
10	60	2.2	CLASS1
31	127	2.55	CLASS1
20	85	1.78	CLASS1
0	15	0.906	CLASS1
30	110	1.35	CLASS1
11	43	0.48	CLASS1
16	65	1.08	CLASS1
33	120	1.44	CLASS1
38	146	2.38	CLASS1
7	61	3.06	CLASS1
21	84	1.43	CLASS1
35	146	3.16	CLASS1
34	122	1.35	CLASS1
33	112	0.747	CLASS1
7	33	0.651	CLASS1
1	29	1.85	CLASS1
19	83	1.86	CLASS1
3	44	2.63	CLASS1
2	14	0.305	CLASS1
6	47	2.11	CLASS1
37	138	1.95	CLASS1
16	69	1.43	CLASS1
32	137	3.16	CLASS1
31	127	2.55	CLASS1
32	131	2.64	CLASS1
6	53	2.63	CLASS1
17	83	2.38	CLASS1
23	84	0.915	CLASS1
0	31	2.28	CLASS1
11	64	2.29	CLASS1
22	107	3.15	CLASS1
36	145	2.81	CLASS1
18	74	1.34	CLASS1
28	96	0.659	CLASS1
23	94	1.78	CLASS1
35	112	0.231	CLASS1
2	22	0.993	CLASS1
29	122	2.64	CLASS1
0	27	1.94	CLASS1
36	134	1.87	CLASS1
15	81	2.72	CLASS1
13	81	3.24	CLASS1
32	106	0.488	CLASS1
31	103	0.488	CLASS1
17	87	2.72	CLASS1
14	48	0.137	CLASS1
1	7	-0.0402	CLASS1
24	113	3.15	CLASS1
19	84	1.95	CLASS1
3	21	0.649	CLASS1
24	86	0.83	CLASS1
37	126	0.921	CLASS1
15	65	1.34	CLASS1
32	106	0.488	CLASS1
0	40	3.06	CLASS1
13	66	1.94	CLASS1
17	56	0.0521	CLASS1
25	89	0.83	CLASS1
16	75	1.95	CLASS1
28	98	0.831	CLASS1
10	59	2.12	CLASS1
3	48	2.97	CLASS1
39	133	1.01	CLASS1
0	26	1.85	CLASS1
21	80	1.09	CLASS1
9	34	0.221	CLASS1
8	39	0.909	CLASS1
38	138	1.7	CLASS1
11	44	0.566	CLASS1
5	22	0.22	CLASS1
24	94	1.52	CLASS1
39	144	1.95	CLASS1
30	110	1.35	CLASS1
32	125	2.12	CLASS1
8	47	1.6	CLASS1
34	125	1.61	CLASS1
39	132	0.922	CLASS1
19	98	3.15	CLASS1
35	136	2.3	CLASS1
27	98	1.09	CLASS1
37	132	1.44	CLASS1
26	84	0.142	CLASS1
12	54	1.17	CLASS1
7	48	1.94	CLASS1
13	61	1.51	CLASS1
25	81	0.141	CLASS1
15	84	2.98	CLASS1
8	64	3.06	CLASS1
30	94	-0.0289	CLASS1
30	131	3.16	CLASS1
36	148	3.07	CLASS1
27	120	2.98	CLASS1
25	115	3.07	CLASS1
22	88	1.52	CLASS1
36	118	0.49	CLASS1
2	20	0.821	CLASS1
35	112	0.231	CLASS1
38	136	1.52	CLASS1
35	117	0.662	CLASS1
28	101	1.09	CLASS1
33	107	0.317	CLASS1
9	58	2.29	CLASS1
8	45	1.43	CLASS1
1	10	0.218	CLASS1
16	55	0.224	CLASS1
16	61	0.74	CLASS1
23	80	0.571	CLASS1
4	16	-0.039	CLASS1
36	122	0.834	CLASS1
31	113	1.35	CLASS1
19	79	1.52	CLASS1
34	123	1.44	CLASS1
18	79	1.77	CLASS1
2	20	0.821	CLASS1
31	109	1	CLASS1
2	40	2.54	CLASS1
0	21	1.42	CLASS1
37	150	2.99	CLASS1
39	152	2.64	CLASS1
29	99	0.659	CLASS1
18	64	0.483	CLASS1
34	117	0.92	CLASS1
16	54	0.138	CLASS1
5	37	1.51	CLASS1
22	72	0.14	CLASS1
29	99	0.659	CLASS1
4	18	0.133	CLASS1
34	123	1.44	CLASS1
13	67	2.03	CLASS1
9	67	3.06	CLASS1
28	117	2.47	CLASS1
15	40	2.73	CLASS1
15	40	-0.81	CLASS2
12	20	-1.76	CLASS2
32	75	-2.18	CLASS2
28	88	-0.0297	CLASS2
24	59	-1.49	CLASS2
32	68	-2.78	CLASS2
27	74	-0.977	CLASS2
4	9	-0.642	CLASS2
18	24	-2.96	CLASS2
10	3	-2.71	CLASS2
29	59	-2.78	CLASS2
1	-26	-2.88	CLASS2
25	77	-0.203	CLASS2
2	-20	-2.62	CLASS2
9	11	-1.76	CLASS2
38	79	-3.38	CLASS2
28	69	-1.67	CLASS2
29	57	-2.96	CLASS2
20	50	-1.24	CLASS2
13	10	-2.88	CLASS2
26	69	-1.15	CLASS2
23	55	-1.58	CLASS2
29	91	-0.0293	CLASS2
29	67	-2.1	CLASS2
4	-23	-3.4	CLASS2
6	1	-1.85	CLASS2
0	-14	-1.59	CLASS2
38	94	-2.09	CLASS2
31	69	-2.44	CLASS2
12	32	-0.725	CLASS2
30	84	-0.89	CLASS2
0	-3	-0.643	CLASS2
21	55	-1.07	CLASS2
16	49	-0.293	CLASS2
0	-18	-1.93	CLASS2
1	3	-0.385	CLASS2
2	-7	-1.5	CLASS2
33	98	-0.458	CLASS2
2	-6	-1.42	CLASS2
4	4	-1.07	CLASS2
37	94	-1.83	CLASS2
32	92	-0.717	CLASS2
28	51	-3.21	CLASS2
35	80	-2.52	CLASS2
34	76	-2.61	CLASS2
7	18	-0.64	CLASS2
35	95	-1.23	CLASS2
31	76	-1.84	CLASS2
32	61	-3.39	CLASS2
12	31	-0.811	CLASS2
4	8	-0.728	CLASS2
23	42	-2.7	CLASS2
22	45	-2.18	CLASS2
14	18	-2.45	CLASS2
11	28	-0.811	CLASS2
33	88	-1.32	CLASS2
37	98	-1.49	CLASS2
3	1	-1.07	CLASS2
36	80	-2.78	CLASS2
27	49	-3.13	CLASS2
39	114	-0.628	CLASS2
34	82	-2.09	CLASS2
13	34	-0.81	CLASS2
22	48	-1.93	CLASS2
39	118	-0.284	CLASS2
36	103	-0.801	CLASS2
19	57	-0.378	CLASS2
10	9	-2.19	CLASS2
23	44	-2.53	CLASS2
2	-1	-0.987	CLASS2
9	13	-1.59	CLASS2
35	103	-0.543	CLASS2
4	1	-1.33	CLASS2
7	19	-0.554	CLASS2
13	20	-2.02	CLASS2
18	21	-3.22	CLASS2
19	25	-3.13	CLASS2
15	47	-0.207	CLASS2
7	-14	-3.4	CLASS2
33	101	-0.2	CLASS2
37	114	-0.112	CLASS2
37	87	-2.44	CLASS2
6	1	-1.85	CLASS2
15	31	-1.58	CLASS2
37	94	-1.83	CLASS2
13	10	-2.88	CLASS2
23	60	-1.15	CLASS2
21	29	-3.3	CLASS2
35	87	-1.92	CLASS2
4	-14	-2.62	CLASS2
1	-22	-2.54	CLASS2
38	109	-0.801	CLASS2
2	1	-0.815	CLASS2
2	10	-0.0398	CLASS2
16	20	-2.79	CLASS2
11	37	-0.0363	CLASS2
9	21	-0.898	CLASS2
13	19	-2.1	CLASS2
17	21	-2.96	CLASS2
4	11	-0.469	CLASS2
33	93	-0.889	CLASS2
7	19	-0.554	CLASS2
27	82	-0.288	CLASS2
29	66	-2.18	CLASS2
15	22	-2.36	CLASS2
22	53	-1.5	CLASS2
7	18	-0.64	CLASS2
17	49	-0.551	CLASS2
21	36	-2.7	CLASS2
0	-32	-3.14	CLASS2
23	72	-0.118	CLASS2
2	-2	-1.07	CLASS2
38	106	-1.06	CLASS2
36	112	-0.0266	CLASS2
4	7	-0.814	CLASS2
31	68	-2.53	CLASS2
21	32	-3.05	CLASS2
36	105	-0.629	CLASS2
25	52	-2.36	CLASS2
29	89	-0.201	CLASS2
37	95	-1.75	CLASS2
17	48	-0.637	CLASS2
21	43	-2.1	CLASS2
17	22	-2.87	CLASS2
28	52	-3.13	CLASS2
12	27	-1.16	CLASS2
17	45	-0.895	CLASS2
8	-11	-3.39	CLASS2
17	29	-2.27	CLASS2
39	84	-3.21	CLASS2
0	-3	-0.643	CLASS2
10	3	-2.71	CLASS2
24	45	-2.7	CLASS2
6	-10	-2.79	CLASS2
1	5	-0.212	CLASS2
7	6	-1.67	CLASS2
24	68	-0.72	CLASS2
35	70	-3.38	CLASS2
10	2	-2.79	CLASS2
18	51	-0.636	CLASS2
19	33	-2.44	CLASS2
31	91	-0.545	CLASS2
5	-12	-2.71	CLASS2
37	114	-0.112	CLASS2
19	52	-0.808	CLASS2
4	-12	-2.45	CLASS2
37	80	-3.04	CLASS2
36	79	-2.87	CLASS2
32	63	-3.21	CLASS2
32	80	-1.75	CLASS2
6	-14	-3.14	CLASS2
28	71	-1.49	CLASS2
30	85	-0.804	CLASS2
24	42	-2.96	CLASS2
11	27	-0.897	CLASS2
7	0	-2.19	CLASS2
25	66	-1.15	CLASS2
23	38	-3.04	CLASS2
38	115	-0.284	CLASS2
14	22	-2.1	CLASS2
27	82	-0.288	CLASS2
26	77	-0.461	CLASS2
23	61	-1.06	CLASS2
7	6	-1.67	CLASS2
11	18	-1.67	CLASS2
24	39	-3.22	CLASS2
25	43	-3.13	CLASS2
39	92	-2.52	CLASS2
15	34	-1.33	CLASS2
22	39	-2.7	CLASS2
0	-30	-2.97	CLASS2
36	95	-1.49	CLASS2
25	49	-2.61	CLASS2
27	77	-0.719	CLASS2
2	-28	-3.31	CLASS2
27	71	-1.24	CLASS2
8	25	-0.296	CLASS2
39	105	-1.4	CLASS2
27	50	-3.04	CLASS2
0	-20	-2.11	CLASS2
19	46	-1.32	CLASS2
16	31	-1.84	CLASS2
16	43	-0.809	CLASS2
21	67	-0.0324	CLASS2
7	5	-1.76	CLASS2
28	50	-3.3	CLASS2
39	110	-0.972	CLASS2
17	48	-0.637	CLASS2
14	29	-1.5	CLASS2
13	23	-1.76	CLASS2
36	80	-2.78	CLASS2
14	36	-0.896	CLASS2
37	89	-2.26	CLASS2
17	45	-0.895	CLASS2
28	75	-1.15	CLASS2
5	4	-1.33	CLASS2
26	60	-1.92	CLASS2
23	72	-0.118	CLASS2
30	90	-0.373	CLASS2
33	99	-0.372	CLASS2
36	82	-2.61	CLASS2
14	45	-0.121	CLASS2
5	-16	-3.05	CLASS2
24	44	-2.79	CLASS2
22	54	-1.41	CLASS2
31	80	-1.49	CLASS2
30	87	-0.632	CLASS2
34	100	-0.544	CLASS2
13	36	-0.638	CLASS2
6	-9	-2.71	CLASS2
19	37	-2.1	CLASS2
31	94	-0.287	CLASS2
13	18	-2.19	CLASS2
10	29	-0.467	CLASS2
12	15	-2.19	CLASS2
31	69	-2.44	CLASS2
24	65	-0.978	CLASS2
21	54	-1.15	CLASS2
32	66	-2.96	CLASS2
27	56	-2.53	CLASS2
29	52	-3.39	CLASS2
28	60	-2.44	CLASS2
29	58	-2.87	CLASS2
4	-7	-2.02	CLASS2
22	49	-1.84	CLASS2
32	73	-2.35	CLASS2
29	91	-0.0293	CLASS2
16	48	-0.379	CLASS2
7	23	-0.21	CLASS2
1	-23	-2.62	CLASS2
8	1	-2.36	CLASS2
11	4	-2.88	CLASS2
39	84	-3.21	CLASS2
38	112	-0.542	CLASS2
36	94	-1.58	CLASS2
27	46	-3.39	CLASS2
17	25	-2.62	CLASS2
39	94	-2.35	CLASS2
34	106	-0.0273	CLASS2
37	103	-1.06	CLASS2
25	45	-2.96	CLASS2
2	-26	-3.14	CLASS2
33	73	-2.61	CLASS2
25	73	-0.547	CLASS2
3	-19	-2.79	CLASS2
33	72	-2.7	CLASS2
6	-17	-3.4	CLASS2
24	59	-1.49	CLASS2
19	27	-2.96	CLASS2
29	77	-1.23	CLASS2
4	-5	-1.85	CLASS2
28	88	-0.0297	CLASS2
35	100	-0.802	CLASS2
21	33	-2.96	CLASS2
22	47	-2.01	CLASS2
1	-17	-2.11	CLASS2
25	48	-2.7	CLASS2
25	67	-1.06	CLASS2
7	16	-0.813	CLASS2
33	102	-0.114	CLASS2
38	111	-0.628	CLASS2
36	80	-2.78	CLASS2
38	106	-1.06	CLASS2
31	84	-1.15	CLASS2
39	109	-1.06	CLASS2
33	102	-0.114	CLASS2
9	9	-1.93	CLASS2
11	4	-2.88	CLASS2
19	51	-0.894	CLASS2
38	112	-0.542	CLASS2
25	75	-0.375	CLASS2
6	2	-1.76	CLASS2
22	35	-3.05	CLASS2
7	-7	-2.79	CLASS2
25	45	-2.96	CLASS2
38	86	-2.78	CLASS2
38	108	-0.887	CLASS2
15	45	-0.379	CLASS2
8	-10	-3.31	CLASS2
12	40	-0.0359	CLASS2
1	-13	-1.76	CLASS2
34	95	-0.974	CLASS2
0	-12	-1.42	CLASS2
2	-5	-1.33	CLASS2
28	86	-0.202	CLASS2
28	68	-1.75	CLASS2
23	65	-0.72	CLASS2
15	38	-0.982	CLASS2
0	-12	-1.42	CLASS2
11	8	-2.53	CLASS2
6	18	-0.383	CLASS2
21	52	-1.32	CLASS2
23	56	-1.5	CLASS2
12	31	-0.811	CLASS2
37	94	-1.83	CLASS2
4	16	-0.039	CLASS2
9	27	-0.381	CLASS2
12	38	-0.208	CLASS2
18	38	-1.76	CLASS2
33	93	-0.889	CLASS2
0	-19	-2.02	CLASS2
24	72	-0.376	CLASS2
26	71	-0.977	CLASS2
15	44	-0.465	CLASS2
23	39	-2.96	CLASS2
19	38	-2.01	CLASS2
38	86	-2.78	CLASS2
37	112	-0.284	CLASS2
15	39	-0.896	CLASS2
20	39	-2.19	CLASS2
18	41	-1.5	CLASS2
18	56	-0.206	CLASS2
36	97	-1.32	CLASS2
4	0	-1.42	CLASS2
35	107	-0.199	CLASS2
13	18	-2.19	CLASS2
32	90	-0.889	CLASS2
19	43	-1.58	CLASS2
17	36	-1.67	CLASS2
0	-21	-2.19	CLASS2
21	52	-1.32	CLASS2
16	33	-1.67	CLASS2
32	76	-2.09	CLASS2
5	-1	-1.76	CLASS2
19	48	-1.15	CLASS2
11	12	-2.19	CLASS2
13	16	-2.36	CLASS2
23	62	-0.979	CLASS2
19	33	-2.44	CLASS2
27	78	-0.633	CLASS2
10	10	-2.1	CLASS2
24	54	-1.93	CLASS2
24	51	-2.18	CLASS2
16	52	-0.0344	CLASS2
10	20	-1.24	CLASS2
2	-19	-2.54	CLASS2
17	49	-0.551	CLASS2
20	35	-2.53	CLASS2
19	61	-0.0332	CLASS2
38	83	-3.04	CLASS2
22	54	-1.41	CLASS2
20	27	-3.22	CLASS2
23	39	-2.96	CLASS2
26	73	-0.805	CLASS2
31	93	-0.373	CLASS2
2	-23	-2.88	CLASS2
27	56	-2.53	CLASS2
10	33	-0.123	CLASS2
16	13	-3.39	CLASS2
21	36	-2.7	CLASS2
6	-9	-2.71	CLASS2
25	48	-2.7	CLASS2
34	73	-2.87	CLASS2
17	44	-0.981	CLASS2
14	37	-0.81	CLASS2
2	-7	-1.5	CLASS2
6	20	-0.21	CLASS2
35	73	-3.13	CLASS2
1	-24	-2.71	CLASS2
20	37	-2.36	CLASS2
17	37	-1.58	CLASS2
9	16	-1.33	CLASS2
34	86	-1.75	CLASS2
4	8	-0.728	CLASS2
31	82	-1.32	CLASS2
10	18	-1.41	CLASS2
27	47	-3.3	CLASS2
15	42	-0.637	CLASS2
11	30	-0.639	CLASS2
2	6	-0.384	CLASS2
5	-2	-1.85	CLASS2
30	72	-1.92	CLASS2
15	17	-2.79	CLASS2
12	31	-0.811	CLASS2
3	10	-0.298	CLASS2
34	67	-3.38	CLASS2
0	-32	-3.14	CLASS2
17	55	-0.034	CLASS2
0	-34	-3.31	CLASS2
35	104	-0.457	CLASS2
4	-7	-2.02	CLASS2
38	82	-3.12	CLASS2
14	25	-1.84	CLASS2
20	40	-2.1	CLASS2
34	87	-1.66	CLASS2
33	75	-2.44	CLASS2
20	39	-2.19	CLASS2
9	19	-1.07	CLASS2
23	58	-1.32	CLASS2
22	64	-0.549	CLASS2
17	42	-1.15	CLASS2
8	26	-0.21	CLASS2
10	-3	-3.22	CLASS2
25	42	-3.22	CLASS2
29	56	-3.04	CLASS2
12	16	-2.1	CLASS2
23	61	-1.06	CLASS2
0	-2	-0.557	CLASS2
37	101	-1.23	CLASS2
13	43	-0.0355	CLASS2

//////////////////TESTING RESULT////////////////////
DataX	Datay	CLASS	Prediction
9	47	CLASS1	CLASS1
22	75	CLASS1	CLASS1
16	76	CLASS1	CLASS1
13	55	CLASS1	CLASS1
6	53	CLASS1	CLASS1
36	118	CLASS1	CLASS1
1	45	CLASS1	CLASS1
9	55	CLASS1	CLASS1
17	90	CLASS1	CLASS1
34	134	CLASS1	CLASS1
35	114	CLASS1	CLASS1
9	51	CLASS1	CLASS1
36	130	CLASS1	CLASS1
37	115	CLASS1	CLASS2
15	73	CLASS1	CLASS1
2	17	CLASS1	CLASS1
2	41	CLASS1	CLASS1
6	34	CLASS1	CLASS1
36	114	CLASS1	CLASS1
20	95	CLASS1	CLASS1
15	81	CLASS1	CLASS1
11	64	CLASS1	CLASS1
35	113	CLASS1	CLASS1
19	92	CLASS1	CLASS1
35	110	CLASS1	CLASS1
5	32	CLASS1	CLASS1
25	95	CLASS1	CLASS1
26	90	CLASS1	CLASS1
30	125	CLASS1	CLASS1
5	52	CLASS1	CLASS1
14	76	CLASS1	CLASS1
1	19	CLASS1	CLASS1
26	99	CLASS1	CLASS1
5	22	CLASS1	CLASS1
14	56	CLASS1	CLASS1
0	40	CLASS1	CLASS1
3	22	CLASS1	CLASS1
34	128	CLASS1	CLASS1
28	94	CLASS1	CLASS1
24	96	CLASS1	CLASS1
3	35	CLASS1	CLASS1
24	96	CLASS1	CLASS1
21	104	CLASS1	CLASS1
36	150	CLASS1	CLASS1
16	84	CLASS1	CLASS1
7	58	CLASS1	CLASS1
4	25	CLASS1	CLASS1
8	53	CLASS1	CLASS1
25	93	CLASS1	CLASS1
27	103	CLASS1	CLASS1
22	81	CLASS1	CLASS1
13	47	CLASS1	CLASS1
10	51	CLASS1	CLASS1
12	78	CLASS1	CLASS1
14	49	CLASS1	CLASS1
38	140	CLASS1	CLASS1
11	65	CLASS1	CLASS1
32	123	CLASS1	CLASS1
33	129	CLASS1	CLASS1
10	70	CLASS1	CLASS1
29	113	CLASS1	CLASS1
20	67	CLASS1	CLASS1
11	76	CLASS1	CLASS1
15	63	CLASS1	CLASS1
18	76	CLASS1	CLASS1
0	7	CLASS1	CLASS1
7	36	CLASS1	CLASS1
34	125	CLASS1	CLASS1
20	96	CLASS1	CLASS1
33	109	CLASS1	CLASS1
7	31	CLASS1	CLASS1
28	100	CLASS1	CLASS1
38	120	CLASS1	CLASS1
12	62	CLASS1	CLASS1
5	24	CLASS1	CLASS1
17	68	CLASS1	CLASS1
29	95	CLASS1	CLASS1
14	50	CLASS1	CLASS1
38	120	CLASS1	CLASS1
27	118	CLASS1	CLASS1
19	81	CLASS1	CLASS1
27	103	CLASS1	CLASS1
3	33	CLASS1	CLASS1
7	52	CLASS1	CLASS1
19	86	CLASS1	CLASS1
11	62	CLASS1	CLASS1
26	90	CLASS1	CLASS1
36	139	CLASS1	CLASS1
14	78	CLASS1	CLASS1
32	134	CLASS1	CLASS1
7	54	CLASS1	CLASS1
31	110	CLASS1	CLASS1
12	77	CLASS1	CLASS1
24	94	CLASS1	CLASS1
11	69	CLASS1	CLASS1
32	126	CLASS1	CLASS1
18	72	CLASS1	CLASS1
16	61	CLASS1	CLASS1
23	89	CLASS1	CLASS1
39	126	CLASS1	CLASS1
23	94	CLASS1	CLASS1
36	127	CLASS1	CLASS1
37	119	CLASS1	CLASS1
36	146	CLASS1	CLASS1
29	92	CLASS1	CLASS1
16	75	CLASS1	CLASS1
11	64	CLASS1	CLASS1
25	95	CLASS1	CLASS1
7	49	CLASS1	CLASS1
9	37	CLASS1	CLASS1
8	56	CLASS1	CLASS1
24	104	CLASS1	CLASS1
37	131	CLASS1	CLASS1
29	125	CLASS1	CLASS1
1	45	CLASS1	CLASS1
16	59	CLASS1	CLASS1
38	144	CLASS1	CLASS1
37	138	CLASS1	CLASS1
29	101	CLASS1	CLASS1
30	109	CLASS1	CLASS1
6	40	CLASS1	CLASS1
29	120	CLASS1	CLASS1
3	20	CLASS1	CLASS1
7	43	CLASS1	CLASS1
